ID,Event,Year,Season,Medal,Age
1826,Weightlifting Womens Lightweight,2016,Summer,,24
1827,Athletics Mens 800 metres,1988,Summer,,20
1827,Athletics Mens 4 x 400 metres Relay,1988,Summer,,20
1828,Boxing Mens Super-Heavyweight,1988,Summer,,29
1829,Shooting Womens Air Pistol 10 metres,2016,Summer,,26
1830,Boxing Mens Welterweight,1988,Summer,,
1831,Archery Mens Individual,1984,Summer,,18
1832,Swimming Womens 50 metres Freestyle,2016,Summer,,18
1833,Athletics Mens Hammer Throw,1988,Summer,,23
1833,Athletics Mens Hammer Throw,1992,Summer,,27
1834,Swimming Mens 100 metres Breaststroke,2012,Summer,,24
1835,Football Mens Football,1984,Summer,,21
1836,Athletics Mens 400 metres,2000,Summer,,19
1836,Athletics Mens 4 x 400 metres Relay,2000,Summer,,19
1836,Athletics Mens 400 metres,2004,Summer,,23
1837,Athletics Mens 4 x 400 metres Relay,2000,Summer,,18
1838,Football Mens Football,1984,Summer,,23
1839,Athletics Mens 100 metres,1988,Summer,,23
1839,Athletics Mens 200 metres,1988,Summer,,23
1840,Athletics Mens 400 metres,1996,Summer,,20
1840,Athletics Mens 4 x 400 metres Relay,1996,Summer,,20
1840,Athletics Mens 4 x 400 metres Relay,2000,Summer,,24
1841,Athletics Mens Shot Put,1976,Summer,,23
1842,Swimming Womens 50 metres Freestyle,2004,Summer,,14
1842,Swimming Womens 50 metres Freestyle,2008,Summer,,18
1843,Handball Mens Handball,1996,Summer,,23
1844,Athletics Mens Triple Jump,1976,Summer,,24
1845,Athletics Womens 100 metres Hurdles,2008,Summer,,18
1846,Football Mens Football,1980,Summer,,20
1847,Shooting Mens Air Rifle 10 metres,1984,Summer,,28
1847,Shooting Mens Small-Bore Rifle Three Positions 50 metres,1984,Summer,,28
1847,Shooting Mens Air Rifle 10 metres,1988,Summer,,32
1848,Shooting Mens Small-Bore Rifle Three Positions 50 metres,1984,Summer,,25
1848,Shooting Mens Small-Bore Rifle Prone 50 metres,1984,Summer,,25
1848,Shooting Mens Small-Bore Rifle Prone 50 metres,2008,Summer,,49
1849,Football Mens Football,2000,Summer,,23
1851,Fencing Mens epee Team,1980,Summer,,16
1852,Football Mens Football,1980,Summer,,22
1853,Athletics Mens 800 metres,2004,Summer,,25
1854,Shooting Mixed Skeet,1992,Summer,,36
1855,Athletics Mens 4 x 100 metres Relay,2000,Summer,,28
1855,Athletics Mens 200 metres,2004,Summer,,32
1856,Athletics Mens Discus Throw,2008,Summer,,23
1856,Athletics Mens Discus Throw,2012,Summer,,27
1856,Athletics Mens Discus Throw,2016,Summer,,31
1857,Athletics Mens 20 kilometres Walk,2000,Summer,,23
1858,Shooting Mixed Trap,1992,Summer,,25
1858,Shooting Mens Trap,1996,Summer,,29
1858,Shooting Mens Double Trap,1996,Summer,,29
1858,Shooting Mens Double Trap,2000,Summer,Bronze,33
1858,Shooting Mens Double Trap,2004,Summer,,37
1858,Shooting Mens Trap,2012,Summer,Bronze,45
1858,Shooting Mens Double Trap,2012,Summer,,45
1858,Shooting Mens Double Trap,2016,Summer,Gold,49
1859,Judo Mens Half-Lightweight,2012,Summer,,21
1860,Handball Mens Handball,1980,Summer,,
1861,Football Mens Football,1992,Summer,,21
1862,Swimming Mens 100 metres Freestyle,1996,Summer,,17
1863,Football Mens Football,1992,Summer,,18
1864,Athletics Mens 3000 metres Steeplechase,1988,Summer,,23
1864,Athletics Mens 5000 metres,1992,Summer,,27
